gene	n_syn	n_mis	n_non	n_spl	n_ind	wmis_cv	wnon_cv	wspl_cv	wind_cv
RP11-404P21.8	2	4	0	0	0	0.9724	0	0	0
MRPL17	4	4	0	0	0	0.7313	0	0	0
C1orf229	3	6	0	0	0	0.7486	0	0	0
MFSD9	3	13	0	1	0	1.5111	1.8401	1.8401	0
CLTCL1	19	33	3	0	1	0.812	0.6819	0.6819	0.2717
TMEM235	5	6	0	0	0	1.0476	0	0	0
KDM4A	7	25	1	1	1	1.2628	0.9095	0.9095	0.4534
PARP9	8	20	0	1	0	1.159	0.5029	0.5029	0
NPIPB11	1	6	0	0	0	0.9506	0	0	0
SLC25A18	0	4	0	0	0	0.8561	0	0	0
TBC1D2	12	22	1	0	1	0.9273	0.53	0.53	0.5241
ZCCHC4	4	7	1	1	0	0.7007	1.4275	1.4275	0
MRPS35	3	7	2	0	0	1.0998	2.2968	2.2968	0
BCL2L2	3	6	1	0	0	1.3196	2.972	2.972	0
MPC2	1	2	0	0	0	0.7225	0	0	0
TAF12	0	1	0	0	0	0.4965	0	0	0
ST20-MTHFS	3	3	0	0	0	0.7914	0	0	0
MTHFD1	8	17	1	0	1	0.991	0.5243	0.5243	0.5047
PRR24	1	2	0	0	0	0.5161	0	0	0
CARD17	1	4	0	1	0	1.4024	3.0373	3.0373	0
TUSC1	4	9	0	0	0	1.0174	0	0	0
SULT1A2	4	3	0	0	0	0.7596	0	0	0
PLA2G1B	0	4	0	0	0	1.5196	0	0	0
UBE2E1	0	4	0	0	0	1.4057	0	0	0
LY6E	2	4	0	0	0	1.6022	0	0	0
GPR20	5	11	0	0	0	1.3131	0	0	0
LBH	4	4	0	1	0	1.1759	3.1986	3.1986	0
WDR53	1	5	0	0	0	1.1221	0	0	0
RPL18	3	4	0	0	0	0.8433	0	0	0
CYP4F2	16	25	1	0	0	0.9683	0.4262	0.4262	0
DMRTA1	8	16	1	0	1	0.9399	0.9302	0.9302	0.8677
NBL1	1	2	0	0	0	0.5722	0	0	0
S100A9	3	4	0	0	0	1.4646	0	0	0
RBP5	4	6	1	0	0	1.5856	1.962	1.962	0
TUBB6	4	9	0	0	0	1.1206	0	0	0
PRPF31	8	14	1	0	1	1.0753	0.9153	0.9153	0.8481
DNAJC9	1	4	0	0	0	1.0255	0	0	0
SHQ1	2	9	1	0	1	1.0637	0.9387	0.9387	0.8706
SFTA3	3	3	0	0	0	0.9813	0	0	0
VENTX	5	5	1	0	0	0.772	2.4289	2.4289	0
LIPA	4	4	0	1	0	0.5827	1.1269	1.1269	0
CNTROB	6	15	1	0	1	0.9865	0.5335	0.5335	0.5294
VAMP2	0	3	0	0	0	1.6172	0	0	0
DENND2C	11	34	2	1	1	1.152	0.8447	0.8447	0.5479
ASB8	2	6	0	0	0	1.2033	0	0	0
KCTD1	0	4	0	0	0	1.5134	0	0	0
PLA2G5	1	4	0	0	0	1.2737	0	0	0
SAA4	3	4	0	0	0	1.4214	0	0	0
PAQR7	3	5	0	0	0	0.8074	0	0	0
XRCC1	3	13	1	1	0	1.418	1.9512	1.9512	0
ABCG8	8	21	2	0	0	1.3955	1.4072	1.4072	0
COL9A3	11	23	1	2	1	1.0963	1.1228	1.1228	0.8148
SUMF1	5	11	1	1	0	1.2766	2.1341	2.1341	0
TMEM71	6	12	0	3	0	1.0379	1.9223	1.9223	0
IL22	3	5	0	0	0	1.0204	0	0	0
FBXO36	1	3	0	0	0	0.9651	0	0	0
MAP2K6	4	4	1	0	0	0.5665	0.7923	0.7923	0
POU6F2	21	30	2	2	1	0.9755	1.2185	1.2185	0.7509
TBRG4	2	9	0	1	1	1.1814	1.3039	1.3039	0.7814
PLXNB1	16	27	2	0	1	0.7744	0.7331	0.7331	0.2527
NUBP2	4	6	0	0	0	1.0451	0	0	0
RNF208	3	8	0	0	0	1.3604	0	0	0
GLS2	2	11	1	0	0	1.5921	1.102	1.102	0
C6orf1	1	4	1	0	0	1.1876	3.2901	3.2901	0
SDE2	4	8	1	1	0	0.9368	2.1169	2.1169	0
PGS1	6	10	2	0	0	0.8441	1.869	1.869	0
AC005609.1	8	10	0	0	0	0.8553	0	0	0
PRNP	1	5	0	0	0	1.3361	0	0	0
SGMS1	4	9	1	1	0	1.1395	2.2707	2.2707	0
HSD17B11	1	5	0	0	0	1.1396	0	0	0
FHL2	1	5	0	0	0	1.2019	0	0	0
GK5	5	16	2	0	0	1.4767	1.2338	1.2338	0
CBWD5	0	3	0	0	0	1.1635	0	0	0
GSKIP	3	4	1	0	0	1.1589	3.2236	3.2236	0
RAMP1	3	3	0	0	0	0.6698	0	0	0
CSNK1D	2	5	0	0	0	0.8471	0	0	0
RAB32	3	5	0	0	0	0.9279	0	0	0
ADORA2A	5	8	0	0	0	0.9692	0	0	0
AC011484.1	8	10	0	0	0	1.0741	0	0	0
FBXO45	1	6	1	0	0	1.4834	2.7094	2.7094	0
KIAA0368	14	38	3	1	3	0.9826	0.7358	0.7358	0.6071
CAPN1	13	23	1	1	1	1.0886	0.8047	0.8047	0.7059
OR2AE1	4	6	1	0	0	0.713	1.95	1.95	0
ALG2	2	5	1	0	0	0.8628	2.8407	2.8407	0
NDST1	14	21	1	0	0	0.8045	0.4792	0.4792	0
OAF	4	8	0	0	0	1.0363	0	0	0
TRAPPC10	7	15	2	0	2	0.9111	1.1194	1.1194	0.7511
NKG7	5	5	0	0	0	1.1609	0	0	0
EOGT	2	6	1	1	0	0.8651	1.999	1.999	0
PRKD1	18	39	2	1	1	1.1639	0.8873	0.8873	0.5088
KRT76	8	15	1	0	1	0.887	0.8699	0.8699	0.7973
UBE2V1	2	3	0	0	0	0.8455	0	0	0
CD80	2	9	1	0	0	1.5613	1.9973	1.9973	0
RP1-130H16.18	5	11	0	1	1	1.1234	1.0564	1.0564	0.8246
EZH1	6	12	1	1	1	0.8114	0.905	0.905	0.6865
PLEKHD1	9	16	1	2	0	1.1286	1.9157	1.9157	0
C2orf83	2	5	0	0	0	1.2226	0	0	0
UBE2L3	1	2	0	0	0	0.5848	0	0	0
B3GNT3	4	12	1	0	0	1.4105	2.2875	2.2875	0
CMPK1	0	4	0	1	0	1.4106	3.1089	3.1089	0
WDR19	9	25	3	2	1	1.0922	1.5511	1.5511	0.3651
ZNF593	2	4	0	0	0	0.8201	0	0	0
GAD2	21	38	0	5	1	1.0367	1.2153	1.2153	0.7542
TM4SF5	2	3	0	0	0	0.7365	0	0	0
RPL26	0	1	0	0	0	0.4767	0	0	0
ARL5A	1	3	0	0	0	1.0868	0	0	0
KLF1	3	5	0	0	0	0.7313	0	0	0
EBI3	2	5	0	0	0	1.0421	0	0	0
HSPB6	2	7	0	0	0	1.4188	0	0	0
ERCC6L	4	21	2	0	1	1.3433	1.4022	1.4022	0.4345
ZBTB22	5	12	1	0	1	0.9668	1.5746	1.5746	0.7211
PLEKHA8	1	7	0	2	0	1.1868	2.3375	2.3375	0
FKBP7	0	4	0	0	0	1.398	0	0	0
ZNF135	11	23	1	0	0	1.1614	0.5178	0.5178	0
AC069547.1	1	3	0	0	0	1.8648	0	0	0
CILP	17	39	4	0	1	1.0723	1.5498	1.5498	0.4156
RAB8B	0	2	0	1	0	0.6491	2.234	2.234	0
SLC6A13	11	20	2	0	1	1.1497	0.9433	0.9433	0.7101
C10orf76	5	11	1	1	1	0.9826	1.218	1.218	0.8151
NUP214	11	33	1	3	3	1.0848	1.2825	1.2825	0.6892
KCNMB3	1	3	0	1	0	0.7851	2.6666	2.6666	0
AREL1	6	19	1	2	0	1.3271	1.7446	1.7446	0
MAPK1IP1L	1	4	0	0	0	0.6849	0	0	0
SULT1C4	2	8	1	1	0	1.1595	2.3017	2.3017	0
SH2D1B	1	3	0	0	0	1.3672	0	0	0
LAMB2	10	32	1	1	2	1.0564	0.6695	0.6695	0.5339
ODF1	4	10	1	0	0	1.5292	1.6889	1.6889	0
CHRD	16	35	3	1	1	1.1681	1.3736	1.3736	0.4917
AC119673.1	0	2	0	0	0	2.0806	0	0	0
PACSIN1	6	10	0	2	0	0.8756	1.948	1.948	0
HIPK1	8	16	2	1	0	0.8288	1.5164	1.5164	0
KCTD14	1	5	1	0	0	1.001	3.1753	3.1753	0
ZNF583	6	21	4	0	0	1.1806	1.7909	1.7909	0
TYK2	11	19	0	1	1	0.8663	0.5098	0.5098	0.4141
SLC6A19	13	20	1	1	1	1.1044	1.1714	1.1714	0.7814
BCS1L	3	7	1	1	0	0.9762	2.1716	2.1716	0
C4BPB	0	4	0	0	0	1.0459	0	0	0
KCNN3	15	21	2	0	1	0.8709	1.1672	1.1672	0.6434
CYP4A11	15	19	3	1	0	0.8159	1.3298	1.3298	0
GDAP1	6	8	2	0	0	0.8327	1.8579	1.8579	0
CDADC1	2	9	1	1	0	1.2195	2.285	2.285	0
DEC1	2	3	0	0	0	1.2915	0	0	0
VSTM2L	4	5	0	0	0	0.7659	0	0	0
TXNDC12	1	3	0	0	0	0.8725	0	0	0
MT3	0	2	0	0	0	2.0248	0	0	0
SRI	1	2	0	0	0	0.7588	0	0	0
ZNF117	5	16	2	0	1	1.0621	1.37	1.37	0.7464
TRAPPC4	1	2	0	0	0	0.6302	0	0	0
PRKAG2	8	10	1	0	0	0.6806	0.6283	0.6283	0
LRRC40	2	11	1	1	0	1.4571	1.9608	1.9608	0
AIFM3	4	14	1	1	0	1.4139	1.828	1.828	0
ZNF786	7	18	1	1	1	1.0074	1.7097	1.7097	0.5097
METTL7B	2	5	0	0	0	1.2853	0	0	0
APBA1	11	27	0	2	1	1.2056	1.2947	1.2947	0.5664
AANAT	3	7	0	0	0	1.244	0	0	0
RHBDL2	5	5	1	0	0	0.6066	1.0406	1.0406	0
PRPF6	7	22	1	1	1	1.2886	1.2043	1.2043	0.4851
HIGD1A	1	1	0	0	0	0.5318	0	0	0
ZNF234	10	16	3	0	0	0.7578	1.2241	1.2241	0
UBE2D3	0	2	1	0	0	0.8832	3.0413	3.0413	0
NANP	2	5	0	0	0	1.072	0	0	0
NRP2	8	27	1	1	0	1.3559	0.9923	0.9923	0
LCE1D	1	2	0	0	0	0.5369	0	0	0
KRT13	7	13	2	0	0	0.9482	2.0827	2.0827	0
CLDN4	6	5	0	0	0	0.7225	0	0	0
PIPOX	2	11	2	0	0	1.362	2.137	2.137	0
AK1	2	3	1	0	0	0.7429	2.4607	2.4607	0
AL583828.1	1	2	0	0	0	0.624	0	0	0
CCDC135	11	30	1	2	0	1.338	1.2793	1.2793	0
EMR2	12	18	0	1	0	0.8754	0.4317	0.4317	0
ANO10	5	13	1	1	1	1.0915	1.4489	1.4489	0.6931
C2orf91	1	2	0	0	0	0.7188	0	0	0
RP11-20I23.1	5	7	0	0	0	0.7897	0	0	0
UBL4B	3	5	0	0	0	1.3713	0	0	0
ADM5	3	5	1	0	0	1.2394	3.071	3.071	0
IFNL2	2	3	0	0	0	0.7394	0	0	0
AL121901.1	1	4	0	0	0	1.5249	0	0	0
ATXN7	10	18	1	0	1	0.8262	0.5793	0.5793	0.4741
FSHB	1	5	1	0	0	1.3721	2.976	2.976	0
TBL1Y	1	3	1	0	0	0.5656	1.3756	1.3756	0
WWP1	8	18	1	2	1	0.7784	0.9541	0.9541	0.4876
PASD1	22	36	3	2	0	0.7838	0.8596	0.8596	0
NDUFB8	1	4	0	0	0	1.2387	0	0	0
FAM9C	0	2	0	0	0	0.6908	0	0	0
GRHL3	8	12	0	2	0	0.7333	1.3048	1.3048	0
TMEM239	2	4	0	0	0	1.3466	0	0	0
KARS	5	8	1	0	0	0.6353	0.726	0.726	0
AP001362.1	1	6	0	1	0	1.7113	1.7772	1.7772	0
SGPP2	2	7	0	0	0	1.0852	0	0	0
ABCB1	22	44	4	2	2	0.9223	1.043	1.043	0.7088
PGLYRP2	7	21	1	0	0	1.4014	1.037	1.037	0
FAM174B	1	2	0	0	0	0.5269	0	0	0
IL18BP	1	4	0	0	0	1.1585	0	0	0
TDP1	3	16	1	1	0	1.5066	1.4332	1.4332	0
SLC8B1	7	12	1	0	1	0.9757	0.7606	0.7606	0.8008
CROCC	15	39	1	1	1	1.1128	0.6401	0.6401	0.2559
OR2V2	6	11	0	0	0	1.1253	0	0	0
SDCBP	0	4	0	0	0	1.2653	0	0	0
EPGN	2	3	0	0	0	0.9621	0	0	0
C17orf98	3	3	0	0	0	0.6959	0	0	0
IRGQ	9	18	1	0	1	1.13	1.1735	1.1735	0.7602
INMT	5	6	0	0	0	0.8902	0	0	0
GPHA2	0	1	0	0	0	0.4831	0	0	0
CMC4	0	2	0	0	0	1.9477	0	0	0
EGFL7	1	3	0	0	0	0.7359	0	0	0
PSMG4	1	2	0	0	0	0.5938	0	0	0
THEGL	4	16	1	0	0	1.4441	0.8927	0.8927	0
PCM1	3	18	1	2	3	1.0036	1.2945	1.2945	0.697
TNFAIP8L1	3	3	0	0	0	0.5789	0	0	0
KRTAP5-11	1	1	0	0	0	0.4488	0	0	0
PROKR1	11	22	1	0	0	1.3544	1.4591	1.4591	0
HEATR2	8	10	1	0	0	0.675	0.9712	0.9712	0
PTMA	0	4	0	1	0	1.4173	3.0298	3.0298	0
ZDHHC20	2	6	1	1	0	0.8918	2.0272	2.0272	0
E2F4	2	9	0	1	0	1.5768	1.8241	1.8241	0
RP11-422N16.3	0	1	0	0	0	0.4372	0	0	0
TEX36	1	4	0	0	0	1.0347	0	0	0
EP400NL	0	5	0	0	0	1.4348	0	0	0
EPG5	21	42	4	2	3	0.8604	0.9812	0.9812	0.5753
TCTE1	10	22	2	0	0	1.3239	1.6332	1.6332	0
LYSMD4	3	6	0	0	0	0.9788	0	0	0
ENTPD4	1	6	1	0	1	0.943	1.1494	1.1494	0.8274
SLC52A1	2	7	0	0	0	1.1566	0	0	0
C10orf82	2	3	0	1	0	0.7746	2.5709	2.5709	0
CXorf23	3	8	1	0	0	0.623	0.609	0.609	0
MTO1	7	13	2	1	0	0.8205	1.5109	1.5109	0
VKORC1	2	2	0	0	0	0.5866	0	0	0
GRAMD1A	14	23	3	0	1	1.0494	1.3261	1.3261	0.6982
PDXK	3	4	1	0	0	0.6133	1.4121	1.4121	0
POLR2F	1	3	0	0	0	1.2636	0	0	0
FXYD1	1	1	0	0	0	0.5327	0	0	0
ANKRD61	3	7	0	0	0	1.0868	0	0	0
CRY1	4	11	1	2	0	0.9024	1.7263	1.7263	0
GFY	2	8	0	0	0	1.0412	0	0	0
CYFIP2	28	48	2	1	0	1.0397	0.6217	0.6217	0
KRTAP2-4	4	9	0	0	0	1.1333	0	0	0
ABHD10	0	6	1	0	0	1.6727	2.2095	2.2095	0
FUK	12	24	1	0	0	1.0732	0.4671	0.4671	0
RP11-248J23.6	5	11	3	0	0	0.8162	1.528	1.528	0
BSND	5	6	1	0	0	0.6541	1.3643	1.3643	0
ZIC5	5	14	0	0	0	1.12	0	0	0
EMX1	5	11	0	0	0	1.2244	0	0	0
DAGLA	16	26	1	0	1	0.9626	0.5177	0.5177	0.4537
U82695.9	1	4	0	0	0	1.6269	0	0	0
RAD50	6	15	2	0	1	0.7263	0.7128	0.7128	0.3504
JAGN1	2	3	0	0	0	0.7524	0	0	0
PAFAH1B2	1	3	0	0	0	0.8692	0	0	0
TK1	3	5	0	0	0	1.1106	0	0	0
METRNL	1	6	0	0	0	1.3808	0	0	0
CENPBD1	0	2	0	0	0	0.6348	0	0	0
ITGB3	12	19	2	0	1	0.8666	0.915	0.915	0.7058
WFDC12	2	2	0	0	0	0.6318	0	0	0
RND3	0	4	0	0	0	1.3814	0	0	0
ARF6	3	3	0	0	0	0.6163	0	0	0
LSMD1	1	2	0	0	0	0.5643	0	0	0
NXPH3	2	6	0	0	0	1.3163	0	0	0
CUTA	1	4	0	0	0	1.2501	0	0	0
ZFP64	11	18	1	0	1	0.8419	0.7567	0.7567	0.6279
GALNT18	10	17	1	2	0	0.9588	1.7897	1.7897	0
C16orf3	0	1	0	0	0	0.4304	0	0	0
PXMP2	5	4	0	0	0	0.7714	0	0	0
FNDC3A	8	25	3	0	2	1.0209	0.9142	0.9142	0.7694
MRPL50	1	4	1	0	0	1.4498	2.8113	2.8113	0
IPO5	6	14	3	0	1	0.8453	1.3392	1.3392	0.4267
TEX29	2	3	1	0	0	0.7976	2.6426	2.6426	0
RP11-196G11.1	0	1	0	0	0	0.4712	0	0	0
CUL2	7	14	0	2	1	0.851	0.717	0.717	0.6282
PROZ	8	9	1	1	0	0.8148	1.744	1.744	0
RBP7	0	1	0	0	0	0.5117	0	0	0
EZH2	6	17	1	2	1	1.0706	1.4634	1.4634	0.5979
BTG4	0	4	0	0	0	1.0251	0	0	0
OR5B21	5	9	0	0	0	0.9511	0	0	0
R3HCC1L	5	17	2	0	1	1.1172	1.5553	1.5553	0.6046
ZNF468	5	18	3	0	0	1.1832	1.9179	1.9179	0
COX7C	0	2	0	0	0	2.0193	0	0	0
ANK2	58	152	13	4	6	0.9852	1.1229	1.1229	0.6507
AC099344.1	1	0	0	0	0	0	0	0	0
SOD2	2	4	0	0	0	1.1221	0	0	0
GGA2	4	10	1	0	1	1.1066	0.9947	0.9947	0.805
NLRP10	16	31	1	0	0	1.1668	0.5553	0.5553	0
SLC26A3	17	28	2	2	1	0.8873	1.098	1.098	0.6325
PCNP	1	3	0	0	0	0.8495	0	0	0
H2AFV	0	3	0	0	0	1.7191	0	0	0
PPAPDC3	8	8	0	0	0	0.8889	0	0	0
ZFYVE9	12	32	2	1	2	0.9303	0.8805	0.8805	0.7438
IPO13	12	21	1	0	0	1.011	0.4432	0.4432	0
KCNS2	12	25	1	0	0	1.3395	1.3032	1.3032	0
PAIP2	0	1	0	0	0	0.4951	0	0	0
CBWD3	1	2	1	0	0	0.5969	1.8549	1.8549	0
ABHD16B	5	13	1	0	0	1.3091	2.5408	2.5408	0
CACHD1	10	26	2	1	2	1.1107	1.2203	1.2203	0.6982
DHRS4	3	5	0	0	0	1.0311	0	0	0
ABCD1	6	15	0	1	1	1.1842	1.1603	1.1603	0.701
RP11-977G19.10	2	4	1	0	0	0.5906	1.2482	1.2482	0
CNOT8	2	3	1	0	0	0.6067	1.5994	1.5994	0
RABGEF1	3	9	1	0	1	1.0967	0.9914	0.9914	0.8136
KRT20	3	11	2	0	0	1.2796	2.1503	2.1503	0
AP000783.1	6	5	0	0	0	0.7997	0	0	0
PFDN5	0	3	0	0	0	1.2706	0	0	0
RAPGEF3	8	14	3	0	0	0.7885	1.3785	1.3785	0
FAM111B	6	15	1	0	1	0.8764	0.6431	0.6431	0.6474
C12orf75	0	2	0	0	0	1.7758	0	0	0
ORC1	10	16	3	0	0	0.7598	1.2108	1.2108	0
SLN	0	0	0	0	0	0	0	0	0
PTPLA	1	7	0	1	0	1.5611	2.2566	2.2566	0
SNX24	2	2	0	1	0	0.5737	1.6796	1.6796	0
CHIC2	0	3	0	0	0	1.3176	0	0	0
FAM200B	1	9	1	0	1	1.2698	1.5611	1.5611	0.6296
C22orf24	1	2	0	0	0	0.6853	0	0	0
OR8B12	12	14	0	0	0	0.944	0	0	0
POLR2A	17	30	1	1	1	0.798	0.679	0.679	0.2409
TNKS	9	29	1	1	0	1.3238	0.9407	0.9407	0
EPHB4	12	26	1	1	1	1.2072	1.0693	1.0693	0.5556
ISCA2	3	4	0	0	0	1.049	0	0	0
PRPSAP1	0	5	0	0	0	1.2029	0	0	0
SMCO1	1	5	0	0	0	1.2968	0	0	0
DBP	5	7	0	0	0	0.8712	0	0	0
HSD17B4	3	15	0	2	0	1.4994	1.4785	1.4785	0
C3orf79	1	3	0	1	0	1.3524	3.0073	3.0073	0
NINJ2	5	6	0	0	0	1.1733	0	0	0
APLP2	6	15	1	0	1	1.0488	0.6623	0.6623	0.6575
SYCE3	0	1	0	0	0	0.4728	0	0	0
DCTN3	2	3	0	0	0	0.915	0	0	0
SOST	7	8	0	0	0	0.9049	0	0	0
PLSCR5	5	8	2	0	0	1.081	2.1937	2.1937	0
PSCA	3	4	0	0	0	1.1751	0	0	0
AGAP2-AS1	2	3	0	0	0	0.687	0	0	0
NUDT6	1	7	0	1	0	1.6151	2.0147	2.0147	0
KIF22	5	14	0	1	1	1.0981	0.8176	0.8176	0.7438
MCOLN1	6	16	2	0	0	1.3715	1.7274	1.7274	0
DHRS3	3	6	0	0	0	1.0275	0	0	0
CAPNS2	1	5	0	0	0	0.9954	0	0	0
CCDC25	0	2	0	0	0	0.7733	0	0	0
NDUFB9	2	6	0	1	0	1.6306	1.8613	1.8613	0
YPEL2	1	2	0	0	0	0.88	0	0	0
OR2A7	2	7	0	0	0	1.205	0	0	0
CCDC126	3	4	0	0	0	1.2149	0	0	0
TCL1B	3	4	0	0	0	1.1341	0	0	0
TTC27	3	19	2	1	0	1.4779	1.422	1.422	0
NYX	8	16	1	0	0	1.2031	2.7501	2.7501	0
INO80D	7	18	2	1	0	0.9815	1.8108	1.8108	0
MEF2D	5	11	1	0	1	0.9785	1.0042	1.0042	0.8349
HIST1H2BA	0	5	0	0	0	1.5864	0	0	0
SLC48A1	2	5	0	0	0	1.2394	0	0	0
ZBBX	16	49	7	1	0	1.2524	1.32	1.32	0
ZNF268	10	26	2	0	1	0.946	0.6102	0.6102	0.4529
ILDR1	14	20	1	1	1	0.9456	0.9215	0.9215	0.8068
OR5A1	11	13	2	0	0	0.8112	1.6206	1.6206	0
ZNF329	3	12	1	0	1	1.1101	1.1364	1.1364	0.7914
TRAF6	5	7	1	0	0	0.6312	0.8251	0.8251	0
MRPL9	1	4	0	0	0	0.9808	0	0	0
RPL36A	2	4	0	0	0	1.2915	0	0	0
RASD2	7	11	0	0	0	1.1204	0	0	0
RRP12	17	27	2	0	1	0.8906	0.6079	0.6079	0.3892
AVP	5	7	0	0	0	1.2233	0	0	0
CTC-435M10.3	4	13	0	1	0	1.5019	1.241	1.241	0
LRRC27	3	8	0	2	0	1.0152	2.1591	2.1591	0
SLC2A7	9	10	0	1	0	0.6813	0.7968	0.7968	0
DCTPP1	3	5	0	0	0	1.1852	0	0	0
HCCS	1	7	0	1	0	1.6785	1.6284	1.6284	0
ZNF788	1	2	0	0	0	1.4419	0	0	0
KHDC1	7	7	1	1	0	0.7095	1.359	1.359	0
AC079602.1	0	3	0	0	0	1.615	0	0	0
ANKRD49	1	3	0	0	0	0.7606	0	0	0
SKI	8	11	1	0	0	0.7074	1.2803	1.2803	0
PIN1	3	4	0	0	0	0.9824	0	0	0
LRP5L	2	3	0	0	0	0.7248	0	0	0
AKR1C1	3	9	2	0	0	1.2915	2.1273	2.1273	0
C17orf105	2	4	0	0	0	1.0295	0	0	0
LHB	0	4	0	0	0	1.5902	0	0	0
AMT	1	7	1	0	0	1.4452	2.6146	2.6146	0
MRPL35	0	3	0	0	0	1.3436	0	0	0
ARF4	1	2	0	0	0	0.7349	0	0	0
SYNJ2BP	3	4	0	0	0	1.151	0	0	0
RP11-597K23.2	1	1	0	0	0	0.5273	0	0	0
ERI1	0	3	0	0	0	0.8205	0	0	0
BNC2	17	41	3	0	2	1.0481	1.0608	1.0608	0.7565
USP34	23	68	8	3	5	0.9679	1.083	1.083	0.7014
MTDH	7	14	2	0	1	0.9251	1.1191	1.1191	0.7628
GCH1	1	3	0	0	0	0.7135	0	0	0
OR2C1	5	13	1	0	0	1.4099	1.9722	1.9722	0
ISOC2	2	5	0	0	0	1.241	0	0	0
COX7B	0	2	0	0	0	1.6919	0	0	0
GNGT1	2	3	0	0	0	1.513	0	0	0
INS-IGF2	2	4	0	0	0	1.1367	0	0	0
PTP4A1	2	3	0	1	0	0.71	2.2032	2.2032	0
TP53I3	2	4	0	0	0	0.9295	0	0	0
C4orf32	2	5	0	0	0	1.3391	0	0	0
FGF2	3	6	0	0	0	0.7838	0	0	0
NDUFAB1	1	5	0	0	0	1.4226	0	0	0
CHCHD1	2	2	0	0	0	0.62	0	0	0
ZNF460	12	16	1	0	0	0.7558	0.557	0.557	0
RIBC2	3	10	1	0	0	1.5514	1.4919	1.4919	0
GADD45B	1	2	0	0	0	0.6147	0	0	0
RPL17-C18orf32	1	3	0	0	0	0.857	0	0	0
EXOC7	6	16	0	2	0	1.3659	1.7253	1.7253	0
ATP6V0E2	2	5	0	0	0	1.3596	0	0	0
SRL	5	14	1	0	0	1.4608	1.4741	1.4741	0
SH2D1A	1	3	0	0	0	1.3644	0	0	0
SYCP2L	9	22	3	1	1	1.1715	1.2503	1.2503	0.6139
C5orf64	1	4	0	0	0	1.3349	0	0	0
PTAFR	5	6	1	0	0	0.9505	2.9183	2.9183	0
CCDC37	8	17	1	1	1	1.0374	1.006	1.006	0.8164
IPMK	5	6	1	0	0	0.6243	0.9159	0.9159	0
TFF2	3	3	0	0	0	0.9246	0	0	0
STRN	9	17	1	2	1	0.9733	1.3127	1.3127	0.6523
TBX19	8	19	1	0	0	1.2738	0.6435	0.6435	0
GOLGA8S	3	13	1	0	0	1.4219	0.7697	0.7697	0
HECW1	40	91	5	5	1	1.1149	1.2979	1.2979	0.2936
IRG1	5	15	1	0	0	1.4603	1.2986	1.2986	0
RBBP9	1	3	0	0	0	1.0944	0	0	0
KCTD11	1	2	0	0	0	0.5516	0	0	0
SNTN	2	3	1	0	0	0.8709	2.8068	2.8068	0
MPEG1	15	20	2	0	1	0.9021	1.2096	1.2096	0.6542
ZNF562	1	11	1	0	0	1.6091	1.2541	1.2541	0
KRTAP4-11	4	5	1	0	0	0.7616	2.2186	2.2186	0
VAX1	3	8	1	0	0	1.212	2.9545	2.9545	0
ECHDC2	3	4	0	1	0	0.6101	1.3124	1.3124	0
ARPC5L	1	4	0	0	0	1.4581	0	0	0
NCMAP	1	3	0	0	0	1.6236	0	0	0
AC111200.1	0	0	0	0	0	0	0	0	0
BMF	1	2	0	0	0	0.7262	0	0	0
OR10V1	3	9	1	0	0	1.2394	2.8902	2.8902	0
GINS3	1	3	0	0	0	0.7587	0	0	0
PSMD3	7	9	1	0	0	0.6661	0.7621	0.7621	0
OR2W1	8	17	1	0	0	1.3981	1.4185	1.4185	0
TIGD5	4	10	0	0	0	0.8783	0	0	0
NSMCE1	0	3	0	1	0	1.0191	3.0807	3.0807	0
RPS4Y2	0	4	0	0	0	1.1998	0	0	0
SYAP1	4	14	0	1	0	1.3673	0.7103	0.7103	0
FAM26D	2	3	1	0	0	0.7852	2.523	2.523	0
KCNA2	5	14	2	0	0	1.0531	2.1522	2.1522	0
CBLN3	3	7	1	0	0	1.4322	2.372	2.372	0
RP11-723O4.6	11	18	1	1	1	0.8974	1.1256	1.1256	0.6954
PRADC1	1	2	0	0	0	0.6377	0	0	0
C9orf153	3	4	0	0	0	1.2542	0	0	0
C2orf62	3	11	0	1	0	1.5418	1.3145	1.3145	0
SIVA1	0	4	0	0	0	1.3744	0	0	0
INS	0	3	0	0	0	1.5955	0	0	0
BLOC1S1	0	1	0	0	0	0.4935	0	0	0
NKX2-2	5	11	1	0	0	1.4255	1.9513	1.9513	0
DIEXF	9	15	3	0	0	0.8883	1.6383	1.6383	0
ZFYVE1	10	14	1	0	0	0.7221	0.6312	0.6312	0
OR2S2	8	11	0	0	0	0.9894	0	0	0
IMPG2	14	39	4	0	2	1.0342	0.9772	0.9772	0.7541
HIST2H3PS2	3	2	0	0	0	0.5459	0	0	0
CNN2	3	5	0	0	0	0.9292	0	0	0
PAPPA	32	74	4	4	1	1.1261	1.3544	1.3544	0.2576
OR52N2	8	11	1	0	0	0.7925	2.031	2.031	0
AP1AR	3	6	1	1	0	0.8557	1.9	1.9	0
HIST1H1T	5	7	0	0	0	1.0198	0	0	0
MAP3K8	2	11	1	0	0	1.568	1.3956	1.3956	0
ATOX1	0	2	0	0	0	1.993	0	0	0
SPRY4	5	7	0	0	0	0.8166	0	0	0
AC074389.6	2	3	0	0	0	0.6388	0	0	0
FAM162A	0	3	0	0	0	1.2935	0	0	0
